station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12163-0,32,61.1,160.37485,155.37485,0.0,5.0,39.73684210526316,0,9493.403335,163.20761152654205,1527.5,-2.8327615265420434,4327.043231792972,13820.446566792973
12163-0,33,61.1,160.40532,155.40532,0.0,5.0,34.473684210526315,0,9495.265051999999,163.2213927940832,1527.5,-2.8160727940831976,4301.551192962084,13796.816244962083
12163-0,34,72.57,160.1093,155.1093,0.0,5.0,29.210526315789473,0,11256.281900999998,163.09306011669344,1814.2499999999998,-2.983760116693446,5413.286791711084,16669.568692711084
12163-0,35,72.57,160.19765,155.19765,0.0,5.0,23.94736842105263,0,11262.6934605,163.2219777667379,1814.2499999999998,-3.0243277667378834,5486.886650804205,16749.580111304203
12163-0,36,54.68,160.56819,155.56819,0.0,5.0,18.684210526315788,0,8506.468629199999,162.15663933209888,1367.0,-1.5884493320988895,2171.4102369791817,10677.87886617918
12163-0,37,54.68,160.70235,160.55235,0.0,0.15,18.526315789473685,0,8779.002498,161.45498183788945,1367.0,-0.752631837889453,1028.847722394882,9807.850220394881
12163-0,38,56.28,160.48218,155.48218,0.0,5.0,13.263157894736842,0,8750.537090400001,161.44753203908132,1407.0,-0.9653520390813242,1358.250318987423,10108.787409387423
12163-0,39,56.28,160.50569,155.50569,0.0,5.0,8.0,0,8751.8602332,161.57715509732697,1407.0,-1.0714650973269784,1507.5513919390585,10259.411625139057
12163-0,40,46.65,159.85495,159.85495,0.0,0.0,8.0,0,7457.2334175,161.49221362685196,1166.25,-1.6372636268519614,1909.4587048161,9366.692122316099
12163-0,41,46.65,160.02116,163.73307135734072,3.711911357340721,0.0,11.526315789473685,1,7638.1477788199445,161.47413108979114,1166.25,-1.4529710897911343,1694.5275334689104,9332.675312288855
12163-0,42,43.66,159.72829,164.72829,5.0,0.0,16.276315789473685,1,7192.037141399999,161.48567569718202,1091.5,-1.7573856971820305,1918.1864884741863,9110.223629874185
12163-0,43,43.66,160.27731,165.27731,5.0,0.0,21.026315789473685,1,7216.007354599999,161.55065927708563,1091.5,-1.2733492770856287,1389.8607359389637,8605.868090538963
12163-0,44,37.53,159.87398,164.87398,5.0,0.0,25.776315789473685,1,6187.7204694,161.48433370109188,938.25,-1.6103537010918956,1510.914360049471,7698.634829449471
12163-0,45,37.53,159.9947,164.9947,5.0,0.0,30.526315789473685,1,6192.251091,161.44930416212344,938.25,-1.4546041621234451,1364.7823551123224,7557.033446112322
12163-0,46,53.83,159.88275,154.88275,0.0,5.0,25.263157894736842,0,8337.338432499999,161.48462618741922,1345.75,-1.6018761874192364,2155.7248792194373,10493.063311719436
12163-0,47,53.83,160.41423,155.41423,0.0,5.0,20.0,0,8365.9480009,161.51045100961548,1345.75,-1.0962210096154763,1475.2394236900273,9841.187424590027
12164-0,0,35.72,107.9442,107.9442,0.0,0.0,20.0,0,3855.766824,108.88993726811056,893.0,-0.9457372681105625,844.5433804227323,4700.310204422733
12164-0,1,35.72,108.11058,108.11058,0.0,0.0,20.0,0,3861.7099175999997,109.069213842955,893.0,-0.9586338429549954,856.0600217588109,4717.769939358811
12164-0,2,35.49,108.083176,108.083176,0.0,0.0,20.0,0,3835.8719162400002,109.10608315726589,887.25,-1.022907157265891,907.5743752841618,4743.446291524162
12164-0,3,35.49,108.225655,108.225655,0.0,0.0,20.0,0,3840.9284959500005,108.87831355506492,887.25,-0.6526585550649173,579.0713029813479,4419.999798931349
12164-0,4,35.07,108.42861,109.74439947368421,1.3157894736842106,0.0,21.25,1,3848.736089542105,108.87615880646312,876.75,-0.4475488064631179,392.38841606653864,4241.124505608644
12164-0,5,35.07,108.45614,113.45614,5.0,0.0,26.0,1,3978.9068298,108.9402868089683,876.75,-0.48414680896829054,424.4757147629487,4403.382544562949
12164-0,6,31.5,108.41907,113.41907,5.0,0.0,30.75,1,3572.700705,108.85192720453988,787.5,-0.43285720453987153,340.8750485751488,3913.575753575149
12164-0,7,31.5,108.49552,113.49552,5.0,0.0,35.5,1,3575.1088799999998,108.9193879842942,787.5,-0.4238679842942048,333.79603763168626,3908.904917631686
12164-0,8,30.27,108.67205,113.67205,5.0,0.0,40.25,1,3440.8529535,108.91419123766634,756.75,-0.24214123766634543,183.2403816040069,3624.0933351040067
12164-0,9,30.27,108.49495,113.49495,5.0,0.0,45.0,1,3435.4921365,108.89891414463844,756.75,-0.40396414463843655,305.6998664551369,3741.192002955137
12164-0,10,35.31,108.5768,108.5768,0.0,0.0,45.0,0,3833.8468080000002,108.86160493355416,882.75,-0.28480493355415604,251.41155509493123,4085.2583630949316
12164-0,11,35.31,108.44362,108.44362,0.0,0.0,45.0,0,3829.1442222,108.9904648646432,882.75,-0.5468448646432051,482.72730426378934,4311.871526463789
12164-0,12,42.4,108.895515,108.895515,0.0,0.0,45.0,0,4617.169836,108.91187991563676,1060.0,-0.016364915636756905,17.34681057496232,4634.516646574963
12164-0,13,42.4,108.76013,108.76013,0.0,0.0,45.0,0,4611.429512,108.91439254635924,1060.0,-0.15426254635923442,163.51829914078849,4774.947811140788
12164-0,14,41.16,108.76326,108.76326,0.0,0.0,45.0,0,4476.6957815999995,108.88053540656432,1029.0,-0.11727540656431756,120.67639335468277,4597.372174954682
12164-0,15,41.16,108.64977,108.64977,0.0,0.0,45.0,0,4472.0245331999995,108.93919825085112,1029.0,-0.2894282508511168,297.8216701257992,4769.846203325798
12164-0,16,51.64,108.55146,108.55146,0.0,0.0,45.0,0,5605.597394400001,108.96471971958444,1291.0,-0.4132597195844312,533.5182979835007,6139.1156923835015
12164-0,17,51.64,108.69516,108.69516,0.0,0.0,45.0,0,5613.0180624,109.21182986805891,1291.0,-0.5166698680589121,667.0207996640555,6280.038862064056
12164-0,18,56.84,108.762825,103.762825,0.0,5.0,39.73684210526316,0,5897.878973000001,109.37557585003994,1421.0,-0.6127508500399301,870.7189579067407,6768.597930906742
12164-0,19,56.84,108.811005,103.811005,0.0,5.0,34.473684210526315,0,5900.6175242,109.28616496688193,1421.0,-0.4751599668819324,675.202312939226,6575.819837139226
12164-0,20,54.51,108.858795,103.858795,0.0,5.0,29.210526315789473,0,5661.34291545,109.32011157720702,1362.75,-0.4613165772070147,628.6591655888593,6290.00208103886
12164-0,21,54.51,108.79892,103.79892,0.0,5.0,23.94736842105263,0,5658.079129199999,109.31220089116376,1362.75,-0.5132808911637596,699.4735344334134,6357.5526636334125
12164-0,22,51.65,108.89681,106.82181,0.0,2.0749999999999984,21.763157894736842,0,5517.3464865,109.35158283619715,1291.25,-0.4547728361971508,587.2254247395709,6104.571911239571
12164-0,23,51.65,108.72664,103.72664,0.0,5.0,16.5,0,5357.480956,109.28272780734758,1291.25,-0.5560878073475806,718.0483812375634,6075.529337237564
12164-0,24,46.87,108.93363,108.93363,0.0,0.0,16.5,0,5105.7192380999995,109.25356787038704,1171.75,-0.3199378703870508,374.88719962602676,5480.606437726026
12164-0,25,46.87,108.8735,108.8735,0.0,0.0,16.5,0,5102.900945,109.3056919100933,1171.75,-0.4321919100932945,506.42087065181784,5609.321815651818
12164-0,26,37.61,108.9786,113.9786,5.0,0.0,21.25,1,4286.735146,109.3137218901768,940.25,-0.3351218901767936,315.0983572387302,4601.83350323873
12164-0,27,37.61,108.88063,113.88063,5.0,0.0,26.0,1,4283.0504943,109.28626934916711,940.25,-0.4056393491671173,381.40239805438205,4664.452892354382
12164-0,28,36.81,108.88447,113.88447,5.0,0.0,30.75,1,4192.0873407,109.18312473962678,920.25,-0.2986547396267838,274.8370241415478,4466.924364841548
12164-0,29,36.81,108.85672,113.85672,5.0,0.0,35.5,1,4191.0658632,109.09452654711788,920.25,-0.2378065471178843,218.84147498523302,4409.907338185233
12164-0,30,41.79,108.96204,113.96204,5.0,0.0,40.25,1,4762.4736516,109.08484881810362,1044.75,-0.12280881810362132,128.30451271375838,4890.778164313759
12164-0,31,41.79,108.87995,113.87995,5.0,0.0,45.0,1,4759.0431105,109.23425714762358,1044.75,-0.3543071476235866,370.1623924797421,5129.205502979742
12164-0,32,61.1,108.84482,103.84482,0.0,5.0,39.73684210526316,0,6344.918502,109.3018148537856,1527.5,-0.4569948537856021,698.0596391575073,7042.978141157508
12164-0,33,61.1,108.85984,103.85984,0.0,5.0,34.473684210526315,0,6345.836224000001,109.18793378062384,1527.5,-0.3280937806238313,501.16324990290235,6846.9994739029025
