station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12162-0,39,56.28,94.794685,89.794685,0.0,5.0,8.0,0,5053.6448718,97.41965827315973,1407.0,-2.624973273159725,3693.3373953357327,8746.982267135732
12162-0,40,46.65,95.16843,95.16843,0.0,0.0,8.0,0,4439.6072595,97.4165979940908,1166.25,-2.2481679940907924,2621.9259231083865,7061.533182608386
12162-0,41,46.65,94.8177,98.52961135734073,3.711911357340721,0.0,11.526315789473685,1,4596.406369819945,97.38519641869546,1166.25,-2.5674964186954554,2994.3426983035747,7590.7490681235195
12162-0,42,43.66,95.08031,100.08031,5.0,0.0,16.276315789473685,1,4369.5063346,97.44720078478004,1091.5,-2.36689078478004,2583.4612915874136,6952.967626187414
12162-0,43,43.66,94.9898,99.9898,5.0,0.0,21.026315789473685,1,4365.554668,97.43167116523368,1091.5,-2.441871165233678,2665.30237685256,7030.85704485256
12162-0,44,37.53,95.21868,100.21868,5.0,0.0,25.776315789473685,1,3761.2070604000005,97.3613158681305,938.25,-2.1426358681304976,2010.3281032734394,5771.5351636734395
12162-0,45,37.53,94.81657,99.81657,5.0,0.0,30.526315789473685,1,3746.1158721,97.36200054073576,938.25,-2.545430540735765,2388.2502048453316,6134.366076945332
12162-0,46,53.83,95.1167,90.1167,0.0,5.0,25.263157894736842,0,4850.9819609999995,97.42667098044988,1345.75,-2.30997098044989,3108.6434469404394,7959.625407940439
12162-0,47,53.83,94.99878,89.99878,0.0,5.0,20.0,0,4844.6343274,97.3828623075412,1345.75,-2.384082307541206,3208.378765373578,8053.013092773578
12163-0,0,35.72,159.39871,159.39871,0.0,0.0,20.0,0,5693.7219212,161.4574765742109,893.0,-2.0587665742108925,1838.478550770327,7532.200471970327
12163-0,1,35.72,158.3139,158.3139,0.0,0.0,20.0,0,5654.972508,161.4660619081722,893.0,-3.152161908172218,2814.8805839977904,8469.85309199779
12163-0,2,35.49,159.19756,159.19756,0.0,0.0,20.0,0,5649.921404400001,161.52311394708147,887.25,-2.3255539470814597,2063.347739548025,7713.269143948026
12163-0,3,35.49,158.6121,158.6121,0.0,0.0,20.0,0,5629.143429000001,161.49123293740146,887.25,-2.879132937401465,2554.51069870945,8183.654127709451
12163-0,4,35.07,159.2878,160.60358947368422,1.3157894736842106,0.0,21.25,1,5632.367882842106,161.48760266592686,876.75,-2.1998026659268533,1928.6769873513686,7561.044870193475
12163-0,5,35.07,158.67232,163.67232,5.0,0.0,26.0,1,5739.9882624,161.5932762554868,876.75,-2.9209562554868,2560.948396998052,8300.936659398052
12163-0,6,31.5,158.7675,163.7675,5.0,0.0,30.75,1,5158.67625,161.49150821865072,787.5,-2.7240082186507095,2145.156472187434,7303.832722187434
12163-0,7,31.5,158.91913,163.91913,5.0,0.0,35.5,1,5163.452595,161.46447904098895,787.5,-2.5453490409889525,2004.4623697788002,7167.9149647788
12163-0,8,30.27,159.35289,164.35289,5.0,0.0,40.25,1,4974.9619803,161.41633923252448,756.75,-2.0634492325244764,1561.5152067128975,6536.477187012897
12163-0,9,30.27,159.3187,164.3187,5.0,0.0,45.0,1,4973.927049,161.49186952529038,756.75,-2.173169525290376,1644.5460382634922,6618.473087263492
12163-0,10,35.31,158.72414,158.72414,0.0,0.0,45.0,0,5604.549383400001,161.51919118927952,882.75,-2.795051189279519,2467.3314373364956,8071.880820736496
12163-0,11,35.31,159.04875,159.04875,0.0,0.0,45.0,0,5616.0113625,161.44410822854366,882.75,-2.3953582285436426,2114.5024762469006,7730.5138387469015
12163-0,12,42.4,158.59132,158.59132,0.0,0.0,45.0,0,6724.271968,156.08037352224508,1060.0,2.5109464777549135,0.0,6724.271968
12163-0,13,42.4,158.49583,158.49583,0.0,0.0,45.0,0,6720.223192,161.49658371668397,1060.0,-3.0007537166839597,3180.798939684997,9901.022131684997
12163-0,14,41.16,158.36702,158.36702,0.0,0.0,45.0,0,6518.386543199999,161.47371816791727,1029.0,-3.1066981679172727,3196.7924147868735,9715.178957986873
12163-0,15,41.16,158.9862,158.9862,0.0,0.0,45.0,0,6543.871991999999,161.5248172498113,1029.0,-2.5386172498112956,2612.237150055823,9156.109142055822
12163-0,16,51.64,159.00484,159.00484,0.0,0.0,45.0,0,8211.0099376,161.49231685732045,1291.0,-2.487476857320445,3211.3326228006945,11422.342560400695
12163-0,17,51.64,158.7453,158.7453,0.0,0.0,45.0,0,8197.607291999999,161.4853660057766,1291.0,-2.7400660057766117,3537.425213457606,11735.032505457604
12163-0,18,56.84,158.6629,153.6629,0.0,5.0,39.73684210526316,0,8734.199236,161.52483445488937,1421.0,-2.861934454889365,4066.8088603977876,12801.008096397789
