station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12164-0,26,37.61,108.9786,0.71,0.71,0.0,113.2686,5.0,0.0,21.25,0.0,1,4260.032046,0.0,4260.032046,109.3137218901768,940.25,300.0,-0.3351218901767936,315.0983572387302,0.0,315.0983572387302,4575.130403238731
12164-0,27,37.61,108.88063,0.71,0.71,0.0,113.17063,5.0,0.0,26.0,0.0,1,4256.3473943,0.0,4256.3473943,109.28626934916711,940.25,300.0,-0.4056393491671173,381.40239805438205,0.0,381.40239805438205,4637.7497923543815
12164-0,28,36.81,108.88447,0.575,0.575,0.0,113.30946999999999,5.0,0.0,30.75,0.0,1,4170.9215907,0.0,4170.9215907,109.18312473962678,920.25,300.0,-0.2986547396267838,274.8370241415478,0.0,274.8370241415478,4445.758614841548
12164-0,29,36.81,108.85672,0.575,0.575,0.0,113.28171999999999,5.0,0.0,35.5,0.0,1,4169.9001132,0.0,4169.9001132,109.09452654711788,920.25,300.0,-0.2378065471178843,218.84147498523302,0.0,218.84147498523302,4388.741588185233
12164-0,30,41.79,108.96204,0.363,0.363,0.0,113.59904,5.0,0.0,40.25,0.0,1,4747.3038816,0.0,4747.3038816,109.08484881810362,1044.75,300.0,-0.12280881810362132,128.30451271375838,0.0,128.30451271375838,4875.608394313758
12164-0,31,41.79,108.87995,0.363,0.363,0.0,113.51695,5.0,0.0,45.0,0.0,1,4743.873340499999,0.0,4743.873340499999,109.23425714762358,1044.75,300.0,-0.3543071476235866,370.1623924797421,0.0,370.1623924797421,5114.035732979742
12164-0,32,61.1,108.84482,0.094,0.094,0.0,103.75082,0.0,5.0,39.73684210526316,0.0,0,6339.175102,0.0,6339.175102,109.3018148537856,1527.5,300.0,-0.4569948537856021,698.0596391575073,0.0,698.0596391575073,7037.234741157507
12164-0,33,61.1,108.85984,0.094,0.094,0.0,103.76584000000001,0.0,5.0,34.473684210526315,0.0,0,6340.092824000001,0.0,6340.092824000001,109.18793378062384,1527.5,300.0,-0.3280937806238313,501.16324990290235,0.0,501.16324990290235,6841.256073902903
12164-0,34,72.57,108.93988,0.0,0.0,0.0,103.93988,0.0,5.0,29.210526315789473,0.0,0,7542.917091599999,0.0,7542.917091599999,109.2068940771441,1814.2499999999998,300.0,-0.267014077144097,484.43028945867786,0.0,484.43028945867786,8027.3473810586775
12164-0,35,72.57,108.827385,0.0,0.0,0.0,103.827385,0.0,5.0,23.94736842105263,0.0,0,7534.75332945,0.0,7534.75332945,109.12475267456308,1814.2499999999998,300.0,-0.2973676745630769,539.4993035760622,0.0,539.4993035760622,8074.2526330260625
12164-0,36,54.68,108.771355,0.0,0.0,0.0,103.771355,0.0,5.0,18.684210526315788,0.0,0,5674.2176914,0.0,5674.2176914,109.07591667684083,1367.0,300.0,-0.3045616768408337,416.33581224141966,0.0,416.33581224141966,6090.553503641419
12164-0,37,54.68,108.78649,0.0,0.0,0.0,108.63649,0.0,0.15,18.526315789473685,0.0,0,5940.2432732,0.0,5940.2432732,109.32961782103844,1367.0,300.0,-0.5431278210384392,742.4557313595463,0.0,742.4557313595463,6682.699004559546
12164-0,38,56.28,108.884834,0.0,0.0,0.0,103.884834,0.0,5.0,13.263157894736842,0.0,0,5846.63845752,0.0,5846.63845752,109.09081352011547,1407.0,300.0,-0.20597952011547704,289.8131848024762,0.0,289.8131848024762,6136.451642322476
12164-0,39,56.28,108.73406,0.0,0.0,0.0,103.73406,0.0,5.0,8.0,0.0,0,5838.1528968,0.0,5838.1528968,109.289221876663,1407.0,300.0,-0.5551618766630071,781.112760464851,0.0,781.112760464851,6619.265657264851
12164-0,40,46.65,108.89588,0.0,0.0,0.0,108.89588,0.0,0.0,8.0,0.0,0,5079.992802,0.0,5079.992802,109.18511545892324,1166.25,300.0,-0.28923545892322977,337.3208539692167,0.0,337.3208539692167,5417.313655969217
