station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12165-0,15,41.16,138.01894,0.186,0.186,0.0,137.83293999999998,0.0,0.0,45.0,0.0,0,5673.2038103999985,0.0,5673.2038103999985,138.24612548657436,1029.0,300.0,-0.22718548657437054,233.7738656850273,0.0,233.7738656850273,5906.977676085025
12165-0,16,51.64,137.59065,0.454,0.454,0.0,137.13665,0.0,0.0,45.0,0.0,0,7081.736606,0.0,7081.736606,139.6179656509572,1291.0,300.0,-2.0273156509571777,2617.2645053857163,0.0,2617.2645053857163,9699.001111385716
12165-0,17,51.64,138.10922,0.454,0.454,0.0,137.65521999999999,0.0,0.0,45.0,0.0,0,7108.5155608,0.0,7108.5155608,140.0460731896838,1291.0,300.0,-1.9368531896838022,2500.4774678817885,0.0,2500.4774678817885,9608.993028681787
12165-0,18,56.84,138.2093,0.637,0.637,0.0,132.5723,0.0,5.0,39.73684210526316,0.0,0,7535.4095320000015,0.0,7535.4095320000015,139.9538377943323,1421.0,300.0,-1.744537794332274,2478.9882057461614,0.0,2478.9882057461614,10014.397737746163
12165-0,19,56.84,138.46117,0.637,0.637,0.0,132.82417,0.0,5.0,34.473684210526315,0.0,0,7549.725822800001,0.0,7549.725822800001,140.07423191260114,1421.0,300.0,-1.6130619126011254,2292.1609778061993,0.0,2292.1609778061993,9841.8868006062
12165-0,20,54.51,138.47493,0.744,0.744,0.0,132.73093,0.0,5.0,29.210526315789473,0.0,0,7235.1629943,0.0,7235.1629943,139.02891721328044,1362.75,300.0,-0.5539872132804362,754.9460748979144,0.0,754.9460748979144,7990.109069197914
12165-0,21,54.51,138.19945,0.744,0.744,0.0,132.45545,0.0,5.0,23.94736842105263,0.0,0,7220.1465795,0.0,7220.1465795,138.1964990755319,1362.75,300.0,0.002950924468109406,0.0,0.8852773404328218,0.8852773404328218,7221.031856840433
12165-0,22,51.65,138.17429,0.791,0.791,0.0,135.30829000000003,0.0,2.0749999999999984,21.763157894736842,0.0,0,6988.673178500001,0.0,6988.673178500001,138.22304067474116,1291.25,300.0,-0.04875067474114303,62.94930875950094,0.0,62.94930875950094,7051.622487259502
12165-0,23,51.65,138.11218,0.791,0.791,0.0,132.32118,0.0,5.0,16.5,0.0,0,6834.3889469999995,0.0,6834.3889469999995,138.1791706306597,1291.25,300.0,-0.066990630659717,86.50165183935957,0.0,86.50165183935957,6920.890598839359
12165-0,24,46.87,137.5064,0.78,0.78,0.0,136.7264,0.0,0.0,16.5,0.0,0,6408.366368,0.0,6408.366368,138.26351327543586,1171.75,300.0,-0.7571132754358416,887.1474804919474,0.0,887.1474804919474,7295.513848491947
12165-0,25,46.87,137.2836,0.78,0.78,0.0,136.5036,0.0,0.0,16.5,0.0,0,6397.923732,0.0,6397.923732,138.2238863265885,1171.75,300.0,-0.940286326588506,1101.780503180082,0.0,1101.780503180082,7499.704235180082
12165-0,26,37.61,137.1076,0.71,0.71,0.0,141.39759999999998,5.0,0.0,21.25,0.0,1,5317.963736,0.0,5317.963736,138.27331986966576,940.25,300.0,-1.1657198696657645,1096.0681074532351,0.0,1096.0681074532351,6414.031843453235
12165-0,27,37.61,137.8073,0.71,0.71,0.0,142.0973,5.0,0.0,26.0,0.0,1,5344.279452999999,0.0,5344.279452999999,138.26886907046912,940.25,300.0,-0.46156907046912465,433.99031850859444,0.0,433.99031850859444,5778.269771508593
12165-0,28,36.81,137.36977,0.575,0.575,0.0,141.79477,5.0,0.0,30.75,0.0,1,5219.465483700001,0.0,5219.465483700001,138.25792010444542,920.25,300.0,-0.8881501044454296,817.3201336159066,0.0,817.3201336159066,6036.785617315907
12165-0,29,36.81,137.81392,0.575,0.575,0.0,142.23892,5.0,0.0,35.5,0.0,1,5235.814645200001,0.0,5235.814645200001,138.2524752934282,920.25,300.0,-0.43855529342820887,403.5805087773092,0.0,403.5805087773092,5639.39515397731
12165-0,30,41.79,137.36655,0.363,0.363,0.0,142.00355,5.0,0.0,40.25,0.0,1,5934.3283544999995,0.0,5934.3283544999995,138.24050264358928,1044.75,300.0,-0.8739526435892913,913.062024389912,0.0,913.062024389912,6847.3903788899115
12165-0,31,41.79,137.8529,0.363,0.363,0.0,142.4899,5.0,0.0,45.0,0.0,1,5954.652921,0.0,5954.652921,138.1844670817037,1044.75,300.0,-0.331567081703696,346.4047086099364,0.0,346.4047086099364,6301.057629609936
12165-0,32,61.1,137.09596,0.094,0.094,0.0,132.00196,0.0,5.0,39.73684210526316,0.0,0,8065.319756,0.0,8065.319756,138.1715152560415,1527.5,300.0,-1.075555256041497,1642.9106536033867,0.0,1642.9106536033867,9708.230409603386
